,time,lat,lon,pressure,temperature,salinity,doxy,chla,bbp700
1154,2019-05-16 00:55:10.999985,17.896587,68.381401,159.0,20.24344,35.88808,7.3459673,0.0648,0.00030432967
1160,2019-05-16 00:55:10.999985,17.896587,68.381401,169.83,19.390099,35.806244,3.6392684,0.0576,0.00039296394
1164,2019-05-16 00:55:10.999985,17.896587,68.381401,175.03,19.190836,35.817413,3.1835504,0.0792,0.00039279598
1172,2019-05-16 00:55:10.999985,17.896587,68.381401,188.68,18.716103,35.884663,3.1296384,0.072,0.00060827745
1178,2019-05-16 00:55:10.999985,17.896587,68.381401,199.58,18.237343,35.959053,3.162941,0.0864,0.00070937665
1187,2019-05-16 00:55:10.999985,17.896587,68.381401,215.51,17.536608,35.958424,3.1936777,0.0936,0.0009502458
1200,2019-05-16 00:55:10.999985,17.896587,68.381401,239.75,16.447514,35.924484,3.2812233,0.1008,0.00088607485
1211,2019-05-16 00:55:10.999985,17.896587,68.381401,259.76,15.766015,35.911655,3.32264,0.0936,0.0008727536
1222,2019-05-16 00:55:10.999985,17.896587,68.381401,279.83,15.3878565,35.900173,3.338894,0.1008,0.00080894807
1233,2019-05-16 00:55:10.999985,17.896587,68.381401,298.4,15.292154,35.976177,3.348768,0.1008,0.0009103021
1244,2019-05-16 00:55:10.999985,17.896587,68.381401,318.67,14.948271,35.94933,3.3680997,0.0936,0.00092274934
1253,2019-05-16 00:55:10.999985,17.896587,68.381401,334.89,14.658374,35.925323,3.3980634,0.0936,0.0007701396
1265,2019-05-16 00:55:10.999985,17.896587,68.381401,357.79,14.3261795,35.899517,3.4489288,0.0864,0.0007190866
1277,2019-05-16 00:55:10.999985,17.896587,68.381401,379.68,14.008327,35.875874,3.4793024,0.0936,0.00066801964
1288,2019-05-16 00:55:10.999985,17.896587,68.381401,398.99,13.689817,35.833736,3.5328107,0.0792,0.0007439963
1314,2019-05-16 00:55:10.999985,17.896587,68.381401,449.7,13.2627535,35.810013,3.5845115,0.0864,0.00042610857
1340,2019-05-16 00:55:10.999985,17.896587,68.381401,498.66,12.812047,35.763176,3.6463006,0.0936,0.0003876331
1366,2019-05-16 00:55:10.999985,17.896587,68.381401,549.63,12.44632,35.73604,3.68238,0.0864,0.00037458594
1392,2019-05-16 00:55:10.999985,17.896587,68.381401,599.11,11.9413185,35.680946,3.907763,0.0936,0.00031062285
1418,2019-05-16 00:55:10.999985,17.896587,68.381401,649.44,11.516014,35.641117,3.790987,0.0792,0.00033561097
1444,2019-05-16 00:55:10.999985,17.896587,68.381401,699.67,10.9980345,35.600197,3.8580124,0.0864,0.00030967876
1470,2019-05-16 00:55:10.999985,17.896587,68.381401,749.42,10.439944,35.52736,4.0870943,0.1008,0.000283736
1496,2019-05-16 00:55:10.999985,17.896587,68.381401,798.61,10.04405,35.486546,4.663893,0.0864,0.0017056889
1522,2019-05-16 00:55:10.999985,17.896587,68.381401,849.46,9.642526,35.447666,5.6984954,0.0936,0.000359053
1547,2019-05-16 00:55:10.999985,17.896587,68.381401,897.25,9.328182,35.425133,6.6651397,0.0864,0.0004221606
1574,2019-05-16 00:55:10.999985,17.896587,68.381401,949.58,9.044616,35.40468,7.2519064,0.0936,0.00042180213
1600,2019-05-16 00:55:10.999985,17.896587,68.381401,999.59,8.76814,35.389782,8.240847,0.0864,0.00038333694
1624,2019-05-16 00:55:10.999985,17.896587,68.381401,1044.13,8.450061,35.356434,9.945774,0.0936,0.00043374993
1652,2019-05-16 00:55:10.999985,17.896587,68.381401,1099.59,8.054255,35.312042,12.461027,0.0936,0.0004332582
1678,2019-05-16 00:55:10.999985,17.896587,68.381401,1149.31,7.719841,35.273945,16.164536,0.0864,0.00043283834
1704,2019-05-16 00:55:10.999985,17.896587,68.381401,1199.42,7.3298745,35.234406,19.83317,0.0864,0.00043231
1730,2019-05-16 00:55:10.999985,17.896587,68.381401,1249.49,6.9703255,35.19881,23.388866,0.0936,0.0004572203
1756,2019-05-16 00:55:10.999985,17.896587,68.381401,1299.48,6.663112,35.168385,27.619429,0.0864,0.00040598653
1782,2019-05-16 00:55:10.999985,17.896587,68.381401,1349.81,6.2461286,35.125286,34.590603,0.1008,0.00040538848
1807,2019-05-16 00:55:10.999985,17.896587,68.381401,1396.62,5.93708,35.091946,40.8953,0.0936,0.00043033023
1859,2019-05-16 00:55:10.999985,17.896587,68.381401,1499.53,5.4033666,35.04238,51.363674,0.0864,0.0003787242
1910,2019-05-16 00:55:10.999985,17.896587,68.381401,1599.78,4.688398,34.97608,67.38252,0.0936,0.00040296462
1961,2019-05-16 00:55:10.999985,17.896587,68.381401,1699.61,4.207924,34.933777,80.19599,0.0864,0.0003894571
2011,2019-05-16 00:55:10.999985,17.896587,68.381401,1797.4,3.7632427,34.897064,90.78807,0.0864,0.00038868206
2062,2019-05-16 00:55:10.999985,17.896587,68.381401,1896.46,3.3858209,34.861397,105.60145,0.1008,0.00036262258
2103,2019-05-16 00:55:10.999985,17.896587,68.381401,1980.86,3.1618,34.8434,111.61583,0.0792,0.00040031364
2118,2019-05-26 00:00:04.000018,18.129055,68.310585,9.01,30.049204,36.579178,226.92404,0.0792,0.00067262736
2122,2019-05-26 00:00:04.000018,18.129055,68.310585,14.56,30.05376,36.58057,227.01888,0.0792,0.00065991667
2125,2019-05-26 00:00:04.000018,18.129055,68.310585,18.79,30.03559,36.57415,227.65697,0.0864,0.0006599547
2129,2019-05-26 00:00:04.000018,18.129055,68.310585,24.9,30.006449,36.57124,230.11635,0.0792,0.0006980465
2132,2019-05-26 00:00:04.000018,18.129055,68.310585,29.92,29.57254,36.58541,239.0652,0.108,0.00076159625
2136,2019-05-26 00:00:04.000018,18.129055,68.310585,34.5,29.187048,36.602043,240.54578,0.1152,0.00077428314
2139,2019-05-26 00:00:04.000018,18.129055,68.310585,38.05,28.842476,36.54653,240.48618,0.1152,0.0008760654
2143,2019-05-26 00:00:04.000018,18.129055,68.310585,44.31,28.219322,36.51943,236.29112,0.144,0.0008253812
2146,2019-05-26 00:00:04.000018,18.129055,68.310585,49.85,27.62735,36.534595,223.26784,0.2376,0.0008253786
2151,2019-05-26 00:00:04.000018,18.129055,68.310585,57.45,26.9233,36.529537,199.22896,0.7704,0.0008126698
2156,2019-05-26 00:00:04.000018,18.129055,68.310585,65.61,26.527254,36.57421,184.9148,0.7632,0.00082525256
2164,2019-05-26 00:00:04.000018,18.129055,68.310585,78.87,25.743914,36.49774,164.91626,0.4752,0.00081262796
2170,2019-05-26 00:00:04.000018,18.129055,68.310585,89.5,25.123592,36.440918,152.97241,0.2736,0.00064760423
2176,2019-05-26 00:00:04.000018,18.129055,68.310585,99.86,24.821232,36.49811,153.72311,0.144,0.0004950289
2182,2019-05-26 00:00:04.000018,18.129055,68.310585,108.71,24.453222,36.454403,149.97964,0.0864,0.0004442593
2187,2019-05-26 00:00:04.000018,18.129055,68.310585,117.1,24.425795,36.52365,163.23639,0.072,0.0005202954
2194,2019-05-26 00:00:04.000018,18.129055,68.310585,129.57,24.182959,36.503044,140.71667,0.0792,0.0005075896
2200,2019-05-26 00:00:04.000018,18.129055,68.310585,138.73,23.844652,36.51681,116.95547,0.0648,0.00032967722
2206,2019-05-26 00:00:04.000018,18.129055,68.310585,149.29,22.635674,36.25068,63.52906,0.0648,0.00034263823
2210,2019-05-26 00:00:04.000018,18.129055,68.310585,154.45,22.15507,36.1685,41.428543,0.0576,0.00034263384
2218,2019-05-26 00:00:04.000018,18.129055,68.310585,169.68,20.69724,35.950245,17.433912,0.0648,0.00030443346
2224,2019-05-26 00:00:04.000018,18.129055,68.310585,178.12,20.409046,35.999874,12.048077,0.0648,0.00034223992
2230,2019-05-26 00:00:04.000018,18.129055,68.310585,189.09,19.36896,35.85118,4.1420503,0.0576,0.00025316092
2235,2019-05-26 00:00:04.000018,18.129055,68.310585,197.78,18.968105,35.91386,3.0873406,0.0648,0.0005194709
2247,2019-05-26 00:00:04.000018,18.129055,68.310585,219.05,18.176306,35.94127,3.1024811,0.0792,0.0007982976
2257,2019-05-26 00:00:04.000018,18.129055,68.310585,237.35,17.594883,35.969707,3.1181545,0.0936,0.00086134963
2269,2019-05-26 00:00:04.000018,18.129055,68.310585,259.75,16.635372,35.916653,3.1753683,0.0792,0.0008861615
2280,2019-05-26 00:00:04.000018,18.129055,68.310585,279.36,16.224785,35.98926,3.1987755,0.0792,0.00082216476
2291,2019-05-26 00:00:04.000018,18.129055,68.310585,299.18,15.764254,35.975773,3.225057,0.0936,0.0010884976
2302,2019-05-26 00:00:04.000018,18.129055,68.310585,319.48,15.473006,35.987976,3.2323968,0.0864,0.00071993173
2313,2019-05-26 00:00:04.000018,18.129055,68.310585,339.5,14.765917,35.891537,3.2826908,0.0936,0.0007195151
2322,2019-05-26 00:00:04.000018,18.129055,68.310585,354.66,14.558314,35.891556,3.305373,0.0936,0.00073201756
2334,2019-05-26 00:00:04.000018,18.129055,68.310585,376.21,14.286419,35.878418,3.3431802,0.1008,0.0007444879
2346,2019-05-26 00:00:04.000018,18.129055,68.310585,399.69,13.826951,35.82332,3.391716,0.0864,0.00094736717
2372,2019-05-26 00:00:04.000018,18.129055,68.310585,449.58,13.169297,35.771164,3.4925964,0.0936,0.00064199255
2398,2019-05-26 00:00:04.000018,18.129055,68.310585,499.53,12.780071,35.75612,3.533439,0.0936,0.00036221038
2424,2019-05-26 00:00:04.000018,18.129055,68.310585,548.6,12.406899,35.73017,3.575233,0.1008,0.0003364564
2450,2019-05-26 00:00:04.000018,18.129055,68.310585,599.45,12.007969,35.690155,3.6366377,0.0936,0.0003360891
2476,2019-05-26 00:00:04.000018,18.129055,68.310585,649.73,11.521679,35.643696,3.6833012,0.0864,0.0003102218
2502,2019-05-26 00:00:04.000018,18.129055,68.310585,699.48,11.109881,35.609306,3.7593095,0.0792,0.00033519499
2528,2019-05-26 00:00:04.000018,18.129055,68.310585,749.49,10.6283,35.559536,3.8194458,0.072,0.0003347151
2554,2019-05-26 00:00:04.000018,18.129055,68.310585,799.72,9.983623,35.474022,4.621192,0.0936,0.0003848493
2580,2019-05-26 00:00:04.000018,18.129055,68.310585,849.31,9.713912,35.459167,5.4003525,0.0864,0.0003972259
2606,2019-05-26 00:00:04.000018,18.129055,68.310585,899.76,9.326382,35.422947,6.5501695,0.0936,0.00042216055
2632,2019-05-26 00:00:04.000018,18.129055,68.310585,949.47,9.082258,35.411224,7.1267395,0.0864,0.0003964429
2658,2019-05-26 00:00:04.000018,18.129055,68.310585,998.54,8.816005,35.394825,7.6965003,0.0864,0.00042149768
2684,2019-05-26 00:00:04.000018,18.129055,68.310585,1049.74,8.541039,35.365795,9.350356,0.0936,0.00043386416
2710,2019-05-26 00:00:04.000018,18.129055,68.310585,1099.31,8.154633,35.32272,11.819263,0.0936,0.00044608844
2736,2019-05-26 00:00:04.000018,18.129055,68.310585,1149.35,7.779,35.27978,15.512609,0.0936,0.00047101532
2762,2019-05-26 00:00:04.000018,18.129055,68.310585,1199.75,7.4007173,35.2432,18.95597,0.0936,0.00043240076
2788,2019-05-26 00:00:04.000018,18.129055,68.310585,1249.13,7.0370607,35.20632,22.712368,0.1008,0.00041921018
2814,2019-05-26 00:00:04.000018,18.129055,68.310585,1299.75,6.71665,35.174065,26.890167,0.0936,0.00040605798
2840,2019-05-26 00:00:04.000018,18.129055,68.310585,1349.55,6.402825,35.141796,32.377556,0.0864,0.00041830892
2866,2019-05-26 00:00:04.000018,18.129055,68.310585,1399.33,6.0421433,35.10292,39.129013,0.0864,0.00039238913
2917,2019-05-26 00:00:04.000018,18.129055,68.310585,1499.54,5.4215207,35.044243,51.62118,0.0936,0.0004041427
2968,2019-05-26 00:00:04.000018,18.129055,68.310585,1599.53,4.782846,34.98573,65.342674,0.0864,0.00060631405
3019,2019-05-26 00:00:04.000018,18.129055,68.310585,1698.14,4.229269,34.935787,80.39314,0.0792,0.0004148886
3069,2019-05-26 00:00:04.000018,18.129055,68.310585,1796.45,3.7475755,34.89387,93.58219,0.0936,0.0004140607
3121,2019-05-26 00:00:04.000018,18.129055,68.310585,1898.24,3.4049602,34.863773,104.69185,0.0864,0.00038805508
3160,2019-05-26 00:00:04.000018,18.129055,68.310585,1979.16,3.1907,34.8495,107.76961,0.072,0.00036225744
3173,2019-06-04 23:03:50.000013,18.318842,68.250076,7.16,30.472256,36.992744,222.88577,0.0792,0.00057005265
3177,2019-06-04 23:03:50.000013,18.318842,68.250076,13.37,30.478985,36.99247,222.71216,0.1008,0.0006462515
3181,2019-06-04 23:03:50.000013,18.318842,68.250076,19.08,30.4775,36.9925,222.67769,0.072,0.0006208521
3185,2019-06-04 23:03:50.000013,18.318842,68.250076,24.75,30.431967,36.98961,224.52559,0.0936,0.00057004957
3188,2019-06-04 23:03:50.000013,18.318842,68.250076,29.03,30.258812,36.96947,228.60274,0.1368,0.00057014124
3191,2019-06-04 23:03:50.000013,18.318842,68.250076,33.95,29.635883,36.853947,237.62206,0.2016,0.000621316
3195,2019-06-04 23:03:50.000013,18.318842,68.250076,39.7,28.105003,36.654953,245.35838,0.2376,0.0007107938
3198,2019-06-04 23:03:50.000013,18.318842,68.250076,42.73,27.566439,36.617355,238.33208,0.3384,0.000774387
3202,2019-06-04 23:03:50.000013,18.318842,68.250076,48.9,26.775114,36.57908,226.12744,0.468,0.00081256044
3207,2019-06-04 23:03:50.000013,18.318842,68.250076,57.48,25.765202,36.559685,198.4184,0.864,0.00092684565
3214,2019-06-04 23:03:50.000013,18.318842,68.250076,69.49,24.832682,36.44971,137.50005,0.432,0.00073643745
3220,2019-06-04 23:03:50.000013,18.318842,68.250076,79.4,24.358583,36.4218,157.42256,0.2088,0.00068559713
3226,2019-06-04 23:03:50.000013,18.318842,68.250076,88.89,24.342451,36.555237,174.60963,0.1224,0.0005837064
3231,2019-06-04 23:03:50.000013,18.318842,68.250076,97.37,24.244827,36.58031,170.48494,0.0792,0.00046933375
3237,2019-06-04 23:03:50.000013,18.318842,68.250076,106.58,24.105602,36.572594,165.5236,0.0648,0.00039312456
3244,2019-06-04 23:03:50.000013,18.318842,68.250076,119.57,23.872412,36.555786,150.85352,0.0576,0.00031690934
3249,2019-06-04 23:03:50.000013,18.318842,68.250076,127.94,23.485573,36.49198,131.7613,0.0576,0.00036774247
3256,2019-06-04 23:03:50.000013,18.318842,68.250076,139.48,22.979692,36.428047,100.42968,0.0504,0.00035503443
3261,2019-06-04 23:03:50.000013,18.318842,68.250076,147.81,22.457958,36.349014,59.022484,0.0504,0.00046936402
3267,2019-06-04 23:03:50.000013,18.318842,68.250076,157.87,20.958836,36.08365,28.934233,0.0576,0.0003296278
3274,2019-06-04 23:03:50.000013,18.318842,68.250076,169.47,19.925186,35.966423,7.2124333,0.0648,0.0003040225
3280,2019-06-04 23:03:50.000013,18.318842,68.250076,178.47,19.00124,35.832546,3.2046802,0.0648,0.00044347666
3286,2019-06-04 23:03:50.000013,18.318842,68.250076,189.73,18.773336,35.913925,2.9848382,0.072,0.0004431671
3290,2019-06-04 23:03:50.000013,18.318842,68.250076,195.43,18.527672,35.907093,3.0110357,0.072,0.0006208123
3302,2019-06-04 23:03:50.000013,18.318842,68.250076,217.94,17.781662,35.927505,3.051039,0.0792,0.0007599828
3314,2019-06-04 23:03:50.000013,18.318842,68.250076,239.66,16.75256,35.892532,3.1361575,0.0936,0.00094978424
3325,2019-06-04 23:03:50.000013,18.318842,68.250076,259.52,16.286097,35.96078,3.1452382,0.1008,0.00075880566
3336,2019-06-04 23:03:50.000013,18.318842,68.250076,278.8,15.938665,35.994934,3.1763198,0.108,0.00078381784
3347,2019-06-04 23:03:50.000013,18.318842,68.250076,299.43,15.620102,36.000042,3.2034063,0.0936,0.00078353897
3356,2019-06-04 23:03:50.000013,18.318842,68.250076,315.4,15.168996,35.956894,3.2129188,0.1008,0.0007705359
3368,2019-06-04 23:03:50.000013,18.318842,68.250076,337.48,14.663562,35.896866,3.2775161,0.0864,0.00075751136
3380,2019-06-04 23:03:50.000013,18.318842,68.250076,359.73,14.384523,35.896732,3.2687416,0.0936,0.0008334405
3391,2019-06-04 23:03:50.000013,18.318842,68.250076,379.55,13.917991,35.836864,3.3287969,0.0936,0.0005791232
3400,2019-06-04 23:03:50.000013,18.318842,68.250076,395.43,13.687452,35.80917,3.3696682,0.0936,0.00052815286
3428,2019-06-04 23:03:50.000013,18.318842,68.250076,449.76,13.37097,35.823,3.429113,0.1008,0.0009595923
3453,2019-06-04 23:03:50.000013,18.318842,68.250076,496.84,12.963176,35.793137,3.475791,0.0936,0.0004385284
3480,2019-06-04 23:03:50.000013,18.318842,68.250076,549.51,12.604696,35.758053,3.5191317,0.1008,0.00036201754
3506,2019-06-04 23:03:50.000013,18.318842,68.250076,599.37,12.12114,35.705265,3.5808904,0.0792,0.00034888677
3532,2019-06-04 23:03:50.000013,18.318842,68.250076,649.85,11.603903,35.651955,3.6388237,0.0936,0.000323001
3558,2019-06-04 23:03:50.000013,18.318842,68.250076,699.58,11.175692,35.616894,3.6901407,0.0864,0.00030985702
3584,2019-06-04 23:03:50.000013,18.318842,68.250076,749.46,10.759759,35.58303,3.7536016,0.0792,0.0003602077
3609,2019-06-04 23:03:50.000013,18.318842,68.250076,796.89,10.297892,35.523697,4.0588336,0.0936,0.00030894662
3636,2019-06-04 23:03:50.000013,18.318842,68.250076,849.38,9.856279,35.477592,4.803503,0.0792,0.00033387388
3662,2019-06-04 23:03:50.000013,18.318842,68.250076,899.36,9.464746,35.441708,6.188184,0.0792,0.00040960844
3688,2019-06-04 23:03:50.000013,18.318842,68.250076,949.67,9.11965,35.41521,7.4126387,0.0936,0.0004091897
3714,2019-06-04 23:03:50.000013,18.318842,68.250076,999.7,8.71376,35.38488,8.22923,0.0936,0.00042137396
3740,2019-06-04 23:03:50.000013,18.318842,68.250076,1049.67,8.3398,35.344696,10.228804,0.0864,0.00048442045
3766,2019-06-04 23:03:50.000013,18.318842,68.250076,1099.45,7.9457684,35.299854,13.67095,0.1008,0.00045851935
3792,2019-06-04 23:03:50.000013,18.318842,68.250076,1149.78,7.594762,35.262886,16.903032,0.0936,0.0004199607
3818,2019-06-04 23:03:50.000013,18.318842,68.250076,1199.62,7.2916,35.23235,20.214783,0.0864,0.00044495682
